	FullReplica10_r333q.tsv	FullReplica9_r333q.tsv	FullReplica7_r333q.tsv	FullReplica6_r333q.tsv	FullReplica5_r333q.tsv	FullReplica4_r333q.tsv	FullReplica3_r333q.tsv	FullReplica2_r333q.tsv
FullReplica10_r333q.tsv	0.0	1.5005063331170907	1.2204064641920453	1.1489519753596917	1.24304506047438	1.2346881348520422	1.211520164827018	1.4321974403940598
FullReplica9_r333q.tsv	1.5005063331170907	0.0	1.1420318568111805	1.1565313076943347	1.1607062821705332	1.1368637097771788	1.048510384684983	1.037676822578893
FullReplica7_r333q.tsv	1.2204064641920453	1.1420318568111805	0.0	1.0524606148546833	1.0417651759199091	1.0183563640671274	1.0327352020814122	1.0889977868636047
FullReplica6_r333q.tsv	1.1489519753596917	1.1565313076943347	1.0524606148546833	0.0	1.08298762903131	1.0489907252614297	0.9920445199204561	1.104897661871306
FullReplica5_r333q.tsv	1.24304506047438	1.1607062821705332	1.0417651759199091	1.08298762903131	0.0	1.0378747105289778	1.0642971723009162	1.1703293897630178
FullReplica4_r333q.tsv	1.2346881348520422	1.1368637097771788	1.0183563640671274	1.0489907252614297	1.0378747105289778	0.0	1.0147352910975733	0.9988368267772882
FullReplica3_r333q.tsv	1.211520164827018	1.048510384684983	1.0327352020814122	0.9920445199204561	1.0642971723009162	1.0147352910975733	0.0	1.0388963879752975
FullReplica2_r333q.tsv	1.4321974403940598	1.037676822578893	1.0889977868636047	1.104897661871306	1.1703293897630178	0.9988368267772882	1.0388963879752975	0.0
